"","0","0 | 1","36000","36000 | 1","126000","126000 | 1"
"sbcC",731.37995,725.9057,319.62705,323.46595,400.67685,391.59545
"sbcD",187.7963,205.9262,129.97465,127.9009,169.8309,137.77605
"phoB",170.3803,211.2962,257.3367,284.292,1577.36995,567.4641
"phoR",78.56725,84.43525,83.8604,77.48165,444.61885,128.9413
"brnQ",3984.881,2972.58735,2005.12065,2016.28135,1719.08625,1664.63005
"proY",2517.2254,1971.6248,1232.92035,1099.30515,1008.17025,983.1672
"malZ",184.37865,175.7538,143.8206,151.81845,243.6655,180.34485
"acpH",97.394,88.4311,72.6573,74.22825,100.23465,87.30015
"queA",3199.9695,3048.13815,1551.44655,1978.3694,1931.56975,2218.9875
"tgt",15876.61,15118.34495,8746.69175,9134.15735,9719.0453,9216.581
