"","0","35400"
"yceM",888.811,882.445
"murJ",1309.34,1529.84
"flgN",476.438,1253.68
"flgM",595.759,1889.65
"flgA",236.467,246.221
"flgB",229.019,281.409
"flgC",265.094,342.576
"flgD",246.947,277.058
"flgE",252.669,224.288
"flgF",116.256,90.0684
"flgG",371.368,406.924
"flgH",180.909,169.064
"flgI",214.475,143.329
"flgJ",277.418,155.978
"flgK",320.992,1038.49
"flgL",329.066,909.723
"yceQ",266.624,234.008
"rluC",1975.1,1624.13
"yceF",739.778,626.418
"sraB",7589.57,8574.8
"yceD",14060.7,13167.5
"rpmF",9287.42,9521.26
"plsX",7019.38,6003.59
"fabH",7256.8,6473.26
"fabD",9475.19,9420.51
"fabG",9991.57,10917.6
"acpP",12379.7,11327.6
"fabF",7147.34,5215.84
"pabC",3257.19,2364.81
"mltG",3158.42,2588.23
"tmk",3076.67,2923.1
"holB",2728.12,2252.18
"ycfH",1674.27,1740.06
"ptsG",2085.02,2700.59
"fhuE",335.538,133.217
"hinT",1030.27,1396.81
"ycfL",964.467,1331.12
"lpoB",919.186,1130.46
"thiK",959.075,974.48
"nagZ",1236.31,1048.65
"ycfP",1466.64,1584.79
"ndh",7148.39,8097.43
"ycfJ",3726.1,4201.23
"comR",1472.74,1104.01
"bhsA",7751.83,7085.33
