"","900","900 | 1","900 | 2","900 | 3","900 | 4","900 | 5","900 | 6","900 | 7","900 | 8","0","0 | 1","0 | 2"
"nadK",1015.252,1389.619,1205.646,521.6102,313.0256,298.5974,305.8217,308.5107,325.2056,621.9456,558.3848,446.7469
"ldtD",1931.687,1804.556,1993.371,7208.926,6741.159,6334.549,991.8929,917.8616,1098.102,1712.335,2212.163,2035.381
"kup",436.479,472.7742,590.0571,123.2691,143.172,84.51495,92.32761,156.4384,181.1012,124.4876,88.14229,104.1778
"murG",1454.481,1868.588,2122.674,865.7133,469.5145,546.9252,441.5022,834.3633,799.4055,1302.056,926.1947,1443.165
"artQ",2483.006,1990.871,2864.074,327.0237,265.1178,226.7962,117.4813,88.98244,133.9541,828.0539,399.2483,795.4019
"atpE",14342.57,11142.44,12531.96,22695.75,23162.49,13184.7,13025,12190.27,15372.87,12916.47,11161.36,14213.79
"yjaG",1495.986,1437.097,1197.362,554.2595,300.0438,496.2054,1305.504,976.7354,956.4177,1808.489,1160.111,1051.1
"yebG",1686.378,1729.561,2378.706,1458.867,1710.272,1358.161,7677.291,12613.83,11370.76,2880.038,4483.809,1974.698
"agaW",190.3784,114.6975,137.1591,64.26151,132.1788,155.9695,104.2866,147.2291,163.5957,211.6493,173.7613,309.1165
"yjbB",268.6561,295.0604,330.2331,519.4811,423.5069,483.6795,89.59641,82.10513,82.32858,312.3693,268.6216,340.2826
"kefF",165.8549,120.9365,211.8377,175.9173,217.4078,145.4302,96.15562,84.02769,92.71442,162.0166,319.5742,191.1926
"pncC",745.7903,722.2501,904.4877,423.0642,274.0209,725.9166,1544.968,1327.86,1017.485,1074.338,706.7719,1086.134
"hcaB",71.43291,33.85999,41.15858,32.73043,50.35448,71.96573,55.23197,18.17533,79.45773,45.16663,49.685,68.92383
"glcA",177.4777,123.3001,164.1024,71.9471,456.2534,137.3919,116.4928,133.0399,132.6831,37.40025,368.5147,94.47575
"ubiI",503.4343,501.4724,567.9387,377.2978,460.2435,364.3085,65.41856,133.3964,180.0952,421.9856,294.6411,527.242
"cynR",113.585,120.7979,146.5719,58.84744,121.9518,82.91531,49.64654,28.15636,66.56475,117.5623,64.72177,82.11848
"fliK",4319.856,6084.574,5042.484,240.5292,84.26258,57.39539,37.24318,28.44186,66.57648,1475.213,904.7004,1491.073
"ruvC",2281.279,2141.414,2565.626,1548.944,1088.057,907.7524,334.5884,418.656,429.7295,1440.321,1687.885,1609.337
"cbrB",247.3668,414.157,426.428,152.7769,351.7424,242.6285,451.69,581.8209,948.3104,539.9626,1417.331,655.2462
"dadA",2423.283,1738.204,1538.489,8077.718,9511.257,13760.89,3141.481,1151.399,1650.67,8290.135,7405.915,12079.86
"pyrD",665.306,983.2039,576.6944,21.80319,68.22628,1.021927,710.2617,1387.917,923.7764,129.2833,83.42124,85.9858
"yegP",1785.938,991.829,1565.247,78.88896,118.1065,109.1323,121.1653,115.5225,122.5143,70.52223,123.8724,76.94498
"ugpE",105.6393,92.16456,91.39605,7.9346,81.13983,47.33781,20.12618,33.18874,18.69952,229.4903,96.52376,230.7525
"nrdD",1347.943,308.8495,915.7275,1957.242,3016.686,1963.45,247.1856,452.3156,734.9926,2674.262,2118.582,3229.833
"clpA",3265.743,2849.188,3527.71,16102.54,18931.5,24541.52,3237.156,2552.945,2974.816,6882.635,7363.294,7795.733
"tusD",2466.297,3100.221,2680.964,465.5098,250.0853,306.5927,567.3049,612.811,555.0844,1045.122,610.8295,553.5047
"mraY",1356.729,1865.104,2052.707,546.511,462.1863,585.8824,119.6069,119.1445,106.1351,1038.356,627.6669,1355.438
"aphA",2787.48,2045.564,1893.649,494.5046,578.2588,331.0439,549.8938,262.6354,267.7225,8737.885,3547.973,3521.792
"selU",266.301,326.3712,286.2022,304.9778,248.5387,274.3681,601.3431,905.3918,936.9487,441.2566,677.1713,665.8913
