"","7200","21600","10800","36000","0","3600","14400","10800 | 1","21600 | 1","36000 | 1","0 | 1","3600 | 1","14400 | 1","0 | 2","10800 | 2","36000 | 2","3600 | 2","21600 | 2","7200 | 1","14400 | 2"
"yfaU",2.362681349,1.946975779,2.298203585,1.948698565,2.119961102,2.088122075,2.040549513,2.3829053,1.989428948,2.342830668,2.460610622,2.2405666,2.131858071,2.468982392,1.984616601,1.895834369,2.394103214,2.139633121,2.467107307,2.227031237
"yfaV",3.412686165,2.432585687,2.989173299,2.972891997,2.324241541,2.501103891,2.470020422,3.29625454,2.812139908,3.40790004,2.834715127,2.980841886,2.681993581,3.110064916,3.113621122,2.601999716,3.204339348,2.920447596,3.790678854,2.856329842
"rhmD",18.75238936,11.14701875,18.62927996,17.92554341,17.43254668,14.52169232,11.77753466,38.23133849,25.13608508,36.97675996,31.07384317,27.80994353,27.77497454,22.25677185,16.29275603,13.22324172,17.53778974,22.24544105,25.1945932,16.78728568
"yfaX",2.759556789,1.729757486,2.957002404,2.19297029,4.076200012,2.848038337,1.976833528,4.217711123,2.225063736,2.619419913,4.044329018,2.582191629,2.252460712,4.754101576,3.63747892,2.704135954,3.854470222,2.795647159,5.081018974,2.806258007
"yfaY",3.800267662,1.781684778,4.842685594,2.623045176,7.274879037,5.309168324,2.180214318,3.806489334,1.900895917,2.21277734,3.776680762,2.124470247,1.988510449,4.034337059,2.552474883,1.919844895,2.504748124,1.975992105,4.061555456,1.897570939
"yfaZ",1.170433208,1.116121891,1.200915203,1.10491915,1.185395197,1.129038245,1.099560064,1.24956728,1.19854145,1.193239018,1.274839942,1.243158208,1.248359395,1.34285561,1.146063534,1.109003953,1.20409755,1.17056626,1.207381611,1.204516029
"nudI",1.18677803,1.05168024,1.222285596,1.124292321,1.317259712,1.185702927,1.066739041,1.179251297,1.105077394,1.128911581,1.186115621,1.11548015,1.131583717,1.127835449,1.0785378,1.031152279,1.083481789,1.086300546,1.07920005,1.055302299
"ais",1.158500249,1.067232475,1.264779265,1.059013462,1.131383421,1.074839139,1.063368068,1.123623816,1.064173145,1.153413054,1.177769817,1.120610934,1.091121705,1.249225931,1.106786893,1.107585016,1.123362194,1.099183593,1.171289635,1.111873608
"arnB",2.573871198,1.648868269,3.099809794,1.981564593,5.491452054,2.442269793,1.72307297,2.090454083,1.842105943,1.7338162,2.796915478,1.598003738,1.644420921,3.92480786,2.411271772,1.794439543,2.024699413,1.719909377,3.609004701,1.894282269
"arnC",2.869154539,1.795645797,3.645261108,2.078784457,4.891360707,3.012053365,1.997210488,2.773757823,2.063322046,1.606096642,3.341254171,1.649443765,1.745904257,5.026507893,3.07504665,2.378851069,2.862844789,1.997370934,5.532484082,2.315626066
"arnA",1.578396931,1.246783282,1.949317935,1.316529271,1.835069946,1.560538425,1.437175427,1.785998001,1.303632439,1.336338624,1.742254831,1.322001855,1.225746023,1.88045832,1.55941058,1.376165451,1.6627962,1.276701936,2.094521489,1.379605853
"arnD",1.814299935,1.340382981,1.767432242,1.511312429,1.972584979,1.633442197,1.501457236,1.848486268,1.430319091,1.50193696,1.874559932,1.475760413,1.462491098,1.833490765,1.537625915,1.489288311,1.732583375,1.335831173,1.920397687,1.469090698
"arnT",1.244879894,1.160391319,1.18471843,1.169788129,1.189864283,1.169431592,1.172758656,1.16260929,1.29595947,1.245686085,1.310581866,1.217461361,1.207841417,1.365223088,1.247866988,1.24128213,1.262301885,1.192427636,1.392696004,1.34199965
"arnF",1.696922875,1.211913867,2.038519659,1.397833361,2.852942131,1.682765652,1.330666523,1.85061408,1.28221352,1.458868049,2.089422727,1.40446325,1.276047325,1.624898029,1.490309767,1.332595572,1.345235982,1.105323109,1.609309315,1.223936747
"pmrD",2.917717538,1.479593354,4.150632276,1.960492587,9.677906153,3.82222733,1.933270662,4.112533295,1.776208259,2.186127756,5.277017448,2.274016081,1.876302645,2.476825362,1.852441486,1.666750669,1.868253255,1.452756583,2.441769146,1.55887461
"menE",2.097672407,1.798862179,2.225644154,1.864867877,2.052807196,1.842886229,2.197665184,2.287251984,1.81882295,2.042341023,2.019767744,1.800315336,1.665908683,2.510075915,1.956690101,1.883495883,2.273239121,1.875468858,2.764832102,1.922267136
"menC",5.786891639,3.232056488,6.260292472,5.339289517,5.323420587,4.998422016,4.188106609,5.081023911,3.183795859,4.407445549,4.516044555,3.742683174,3.406801533,5.301744124,4.093686524,3.186765904,4.37761638,3.59442119,6.224812237,3.479484505
