"","3570","3570 | 1","3570 | 2","0","0 | 1","0 | 2","570","570 | 1","570 | 2","1770","1770 | 1","1770 | 2","3570 | 3","3570 | 4","3570 | 5","7170","7170 | 1","7170 | 2"
"pptA",10.88742166,10.76410599,11.03960051,10.79108977,10.3861298,11.7764332,10.70232148,10.77574193,10.97494536,10.66283593,11.13788619,10.97582415,9.697721249,10.40827236,10.17397216,10.75982117,9.969728834,10.66267214
"yddH",7.247510383,7.272680383,7.298383963,7.097477458,7.283682362,7.177254346,7.32187272,7.394565157,7.179968222,7.733109077,7.146058552,8.028443026,6.995624535,7.107674316,7.101998132,7.370660731,7.202165901,7.632988299
"nhoA",8.118790392,8.104329516,8.037887345,8.222576334,8.919699624,8.384497949,8.975142883,9.324445405,9.0219391,8.581836668,8.793988181,8.43578215,9.007054969,8.865876328,8.835398818,8.635212745,9.115126128,8.730943025
"yddE",8.449520408,7.327824562,7.730764461,8.781473895,8.06316942,7.928704594,8.299276815,7.975277514,8.004445391,8.286672211,8.023986898,6.74428833,8.04447708,8.032056373,7.355168817,8.634706812,7.693218586,7.32612583
"narV",8.331801685,7.59060364,8.882142791,8.576043943,7.476468841,8.090792854,8.4232141,8.30022316,8.484874841,9.500480544,8.245347993,7.929534893,8.206408292,7.510552163,7.574794595,8.100428825,7.639214314,8.90658465
"narY",8.816276186,8.166062167,8.304158329,8.259912301,7.625063873,7.731853073,9.176342994,8.816299428,8.75711242,8.486297463,8.009216573,8.749977601,7.784731477,7.786816461,7.683707551,8.021528375,7.776310486,7.922789064
"narZ",8.557238993,7.945308447,8.485257046,8.444128418,8.817295683,8.674316871,9.365186568,9.596478618,9.559151183,8.764492187,8.964021027,9.205179058,8.487785878,7.96908759,7.93571078,8.612438504,7.550063626,8.137350137
"narU",7.878373162,6.897103249,7.261575077,6.830751629,7.52085054,7.255536425,8.594050993,8.561637568,8.134853721,7.441645607,6.799120028,6.832963085,7.447928956,7.07684689,6.716167008,7.308924452,6.911009247,7.163362221
"yddJ",7.351262237,6.892628303,7.894422002,7.293587531,8.131116936,7.555857257,7.527912736,7.729119143,7.890543654,7.700491005,7.320752276,7.647831361,6.958349836,7.76243752,7.662399894,7.422458004,7.849037502,7.123546808
"yddL",7.246591305,7.348682656,7.497805889,7.346835989,6.832048977,6.66814113,7.074658174,6.895779896,6.959020391,7.180000214,6.56259172,7.870555851,7.149632305,7.397672291,7.609721924,6.868225181,6.770224646,6.564170573
"yddG",10.17551486,10.56186559,10.52002681,9.429601579,8.938224835,8.750417716,8.733635298,8.623953245,9.261555538,9.73750562,9.112892704,10.3582738,8.898639514,10.33528657,10.0239892,9.474817755,9.894154588,9.768594986
"fdnG",10.19116941,9.552301204,9.347950786,10.24587553,10.17456095,9.788684673,9.139736574,9.212531023,9.612042629,9.978559552,9.664846789,11.09247168,9.965513658,10.4054766,10.28112258,10.14744646,9.292108546,9.474875687
"fdnH",8.515445124,7.539418214,6.839644419,8.385623594,8.470383982,7.478183764,7.823234858,7.428591835,7.254530436,8.553463165,7.664191979,8.484649066,8.014990321,8.505900828,8.41870588,8.265833946,7.676336206,7.203388623
"fdnI",8.824446653,7.418170781,7.042203979,8.66903541,8.627359457,7.650827076,8.468159893,7.982474429,7.714428565,8.698643624,7.912218821,7.460676478,8.519465806,8.689435101,8.540755392,8.476338494,7.801890286,7.089213094
"yddM",8.344028514,7.71660752,6.970865023,8.674312375,8.930734248,8.590389628,9.220202451,9.506388982,9.531671101,8.776354892,8.456672675,8.446242773,7.909371052,8.708834076,8.845504894,8.891886327,8.297684788,7.707214957
"adhP",9.068954168,9.519213545,8.824422383,8.925948141,7.923727693,8.445226306,10.05561197,9.199308018,9.194376923,9.70660105,9.171196042,9.978637415,8.352409069,8.402061269,8.526050251,9.500473641,8.578363848,8.998670345
"maeA",13.34669685,13.20920441,13.60053467,13.55543397,13.08403277,14.29127751,14.25211216,13.72815047,14.56897613,13.7403528,14.35789625,14.61600252,13.65883397,13.62069057,13.414353,13.91098349,13.44831097,14.23864517
"sra",13.06039726,12.43975184,12.75200309,12.96234724,13.36805537,13.94761425,13.99342436,14.41893643,14.77598556,13.38450215,14.00455774,12.81023763,11.611781,12.20999118,11.31407722,12.93041297,11.61769935,12.89613025
"bdm",8.266552486,8.731150784,8.153546564,7.901241532,8.711858262,8.49267086,10.53324162,11.38204871,11.25344455,7.788376526,8.593429133,7.962809239,7.399069896,7.491286997,7.210608437,7.759058741,7.32360976,7.961710124
"osmC",11.52171545,10.78234771,10.27740381,11.61986313,11.51996873,11.74907454,12.38039729,12.33529406,12.7356399,11.13758385,12.16047146,10.68799251,10.45192921,10.56271497,10.00365595,10.99609631,10.776606,11.18968424
"ddpF",7.519816795,6.799652784,7.076046268,7.774684363,6.977130739,7.524129636,7.84008844,7.528287154,7.974444576,7.741632523,7.628263972,7.693561747,7.368606794,7.01780745,7.346998557,7.437989072,7.0173332,7.638253176
"ddpD",6.838460422,7.150842366,7.595563115,7.004060768,6.851159107,6.960083437,7.256034798,6.740777045,6.988215452,7.342035532,6.822357758,8.935472079,6.857039159,7.481765004,7.244652058,7.470371519,6.728066467,6.868790685
"ddpC",8.755253533,7.809204565,8.557178507,8.297392665,8.844500643,8.545350661,8.34430719,8.539038477,8.687932961,8.815635019,8.248052018,9.759168447,7.849927236,7.94521369,7.960396213,7.997391184,8.288577798,8.26934499
"ddpB",7.044861669,7.133130701,7.863966408,6.695111699,8.072586381,7.831760717,7.280287737,7.332958501,7.950910389,7.794601927,7.6692775,7.816114181,8.027053059,6.543064002,7.304817541,7.210399501,7.157479021,7.128211419
"ddpA",7.152146412,6.925038596,7.389603111,7.089960851,7.79387399,7.773345885,7.342408592,7.425780731,7.641966282,7.31724543,7.654945633,7.59987877,7.730683591,6.958587745,7.319983564,7.140523152,7.0173332,7.201138948
"ddpX",7.505898547,7.475192652,8.112790642,7.910916491,8.80183237,8.672856164,7.714274535,7.991909082,8.05290457,7.402527563,8.312213659,7.572323497,8.366883718,7.234609112,9.281854226,7.395455886,7.920338489,8.137744837
"dosP",7.386884622,6.763906306,7.223504995,7.060083606,6.639147342,6.848647896,7.121861007,6.808301142,7.29218184,6.882973978,6.653508101,7.007145402,7.052798811,7.400460003,6.767245943,6.763706925,6.912200417,7.529411276
"dosC",7.549437858,8.022889018,8.252940909,7.698825405,6.823012883,7.654923169,8.01485236,7.475686285,7.902998562,8.039868734,7.160578715,7.968211839,7.395207663,7.44029062,7.859482389,7.832781542,7.753557664,7.480126023
"digH",9.146024839,8.568236182,8.699860421,9.17586774,8.2145443,8.580703603,9.631127946,9.190904399,9.516372112,9.507723115,9.238286298,10.15493023,8.641019633,9.276586122,9.134106346,9.54440794,9.089818431,9.116058104
"gadC",12.94242917,14.95515866,14.74993926,12.07641285,13.33134458,13.14242555,14.85492509,15.9330791,15.02683817,14.89541487,14.55984667,15.43295598,13.74930522,14.62454953,13.97823123,13.9635142,15.4109923,15.50443013
"gadB",13.81516669,14.02336621,13.57821629,13.41277959,14.28562836,14.02766924,15.72275962,15.75071905,15.73549388,15.83333038,15.35520014,15.19435172,15.02034866,14.41227333,14.13309829,14.90155804,14.88478026,15.0059131
"pqqL",6.881884871,6.567280329,6.602287441,7.082983817,7.270392857,6.861371188,7.257044106,7.569103686,7.183618115,7.304287495,6.986407133,7.119184684,8.126074396,8.468559026,8.635099861,7.289208587,7.072083421,9.097820544
"yddB",6.947448733,6.928800215,6.590099131,6.920557985,7.156183418,6.896395439,6.969657836,7.095134657,7.033701394,6.698337944,6.68678961,7.198462585,6.768460015,6.87042007,7.72546303,7.063952259,7.525050487,7.349950101
"yddA",7.000162597,6.692878858,7.151419031,6.861010684,6.408705801,6.37326571,6.601348873,6.475920765,6.209784973,6.751979883,6.274953531,6.90842651,6.731293777,7.212407365,7.329948817,6.829449097,6.644123437,6.344203898
