"","0","0 | 1","0 | 2","0 | 3","420","420 | 1","420 | 2","420 | 3","600","600 | 1","600 | 2","600 | 3","600 | 4","600 | 5","1800","1800 | 1","1800 | 2","1800 | 3","0 | 4","0 | 5","0 | 6","0 | 7","420 | 4","420 | 5","420 | 6","420 | 7","600 | 6","600 | 7","600 | 8","600 | 9","1800 | 4","1800 | 5","1800 | 6","1800 | 7"
"yfcD",190537,55322,198614,104016,167658,56508,190570,143429,160287,41462,87190,20688,98906,50152,128072,29309,291031,210525,185785,62762,163144,61085,205157,58586,106829,71967,120135,141823,116092,68980,93032,39949,80113,66248
"yeeS",156270,44063,297850,154499,94339,33655,96212,19906,106525,30849,93461,22096,62116,22723,119130,51569,238463,49002,189366,69680,176116,48699,172167,53823,97116,41671,67813,52202,138506,100807,37378,16009,107469,58859
"thiD",506943,135082,306572,187098,375981,125946,192428,85900,275152,217845,103951,30097,514880,164420,350972,204884,710225,358878,347476,247245,375803,160724,466542,241302,313947,299541,266201,263846,404206,245094,241831,273028,328975,163181
"ccmA",423796,123629,311486,167235,286379,111551,230988,91069,319655,130903,79992,37610,218707,100079,193992,85002,471305,276449,294625,145401,278324,191209,308722,122133,187113,143922,179716,155359,221599,157803,163787,126048,201313,168879
"yfbV",733460,263057,502660,286007,571823,332066,485393,194754,510489,381321,89999,36844,490150,226047,337618,132341,1141400,743754,690209,350958,484378,642215,553710,350335,366950,387720,388389,537808,775912,503508,450570,450786,492087,514458
"yegU",119274,40665,76027,43534,59826,43288,54243,23908,62925,53010,93163,49117,84315,25379,97162,57742,221202,147900,112006,41520,94332,69468,105842,42047,62843,38196,132003,102582,92642,56580,73330,71405,109673,101855
"ccmE",221596,64387,144480,55395,154238,54950,100187,56435,154868,100906,176368,48317,156064,57700,161278,109311,365785,207700,219463,99512,197351,94833,218723,63424,117573,80001,263950,195560,132555,90706,136989,113465,179660,147237
"yfbR",104303,64185,86577,34849,116255,65632,91196,40426,139017,88835,101599,38516,336273,117493,81915,37202,316235,309500,173335,82418,160657,107910,176361,62478,110490,78580,118682,79243,96616,68744,231574,223153,82774,78464
"ptsI",2621400,3296593,3851126,3609971,4199596,3669308,2490330,3308377,2555865,3438368,237039,78315,3276750,4363695,4143874,2306895,6065494,5851912,3735495,4308519,5116652,4758529,3735495,4475939,3899227,4462056,4114963,3037913,5930344,6090125,4218311,2843075,3591620,5031278
"argK",498237,139176,332213,169803,515493,280751,364912,166771,353575,319570,109844,37673,561462,138575,246088,103866,741963,298264,427146,189095,406940,191897,522397,314087,384685,141965,168355,248194,503533,201114,189859,194678,220698,120624
"grpE",543695,188037,375131,255752,516723,422202,557609,187797,441493,701203,207880,64370,1303498,271168,439763,182667,1259947,788418,695603,300978,492512,350137,612642,433525,504397,329920,334769,638356,948711,341534,418638,418315,393631,331774
"hycH",542824,185567,295449,213716,145272,87910,148515,89984,139955,63194,166771,64535,125475,52645,135986,67052,350015,168481,234237,90999,164360,61657,181666,49848,154911,87938,179974,173052,164794,102695,104225,79668,147392,138653
"zipA",405299,116430,322333,172538,307790,129744,236139,116815,305995,131852,72601,30138,192832,126711,275057,71461,594359,535513,580613,276206,328425,220283,437607,179688,262993,260478,239682,168058,317634,284946,267339,125344,144548,206769
"yfgI",760285,272083,432334,154801,81986,26138,114589,87008,70057,35189,105643,34352,81224,25073,92256,30852,243816,90690,117287,31153,111144,39275,120828,24976,104288,57090,102791,94304,132267,89836,39608,32370,51169,35023
"ffh",3024033,2183946,6169576,5742846,2175921,1157984,836262,627046,1607336,850224,545432,238970,980950,474115,1459694,843436,2487831,1678753,413947,284373,1108848,518284,1605048,660470,1120654,926935,2335757,2009992,2713747,1637455,1371681,995207,4009938,3015858
"ascG",158860,52034,164084,51047,126727,57242,96488,32164,123470,45448,78795,17629,130250,71196,129857,46600,284192,165626,223295,77766,162492,68224,208061,57523,119826,74355,81220,39241,106995,79004,88123,29392,80069,71361
"yfeN",525354,258668,1389806,1119614,391826,180556,1998381,237065,357213,125449,161030,76520,378692,180359,500155,315023,661200,542370,479775,256131,310242,243541,428946,148815,258844,268589,315131,262528,473761,390948,274113,209600,393230,339125
"ppx",2680462,1730115,4320361,4371333,1220120,862603,515861,428515,723187,444918,1089706,700439,1237067,667305,1613385,1736036,1944071,1415789,869308,1246643,623958,520564,1073033,566207,776349,1058728,1152821,1091366,1713112,1154917,854336,800939,2930707,2421682
"rplS",717220,228029,326111,199246,437797,111911,122189,90699,268690,337877,31336,10696,783581,206115,215230,144855,809532,449412,533073,337301,443276,244141,743179,322450,411213,456088,295392,292891,528677,386272,238719,396042,506760,286098
"norV",118821,36440,79609,51042,59745,24645,60246,32664,79722,23501,46877,14928,59192,32475,77791,27207,135288,102393,125881,41630,116278,46654,197925,44466,100861,90863,129314,123760,87086,53358,36489,21200,47187,27980
"gltX",1392282,1090005,1598453,608938,2236409,1155749,1415387,709182,2302151,1574313,110587,41352,2106753,1003955,1134995,567055,3307250,1998649,967611,768606,1137364,623593,1143948,1174160,1292617,843455,554065,977410,1384821,813770,692342,658249,621698,681009
"upp",381014,169558,278762,118849,499692,152989,233680,153353,489207,314392,79463,26678,477076,217766,331623,144088,1422007,833492,249131,216345,349285,167887,500338,210644,333838,318264,223998,266722,402654,297553,305955,472309,495523,347314
"yfiL",378208,88589,186411,150346,161361,241785,276321,40492,273575,70344,94026,97213,93188,90714,225136,90679,350262,343064,372947,108009,202899,343752,359449,82281,91133,210882,187921,138208,109096,191270,99445,108587,34088,29507
"gutM",123618,30693,85614,32462,80825,23039,68252,18053,78277,28276,63451,18205,96564,24806,72595,37881,215412,97984,143958,43580,104890,51123,146817,26616,88640,45520,89950,83644,76619,55167,65163,35183,94759,87502
"nupC",595333,205460,423423,194898,398725,125818,238409,190288,492909,308331,359482,112436,424125,168486,357154,155516,908415,813642,388515,265545,518209,294281,735675,137498,272830,304494,251593,123766,250811,282828,322476,199788,203723,226489
"bepA",994464,563885,793232,392250,667101,1294723,1957389,408035,975904,2350917,1977469,413754,2052655,350552,662796,685550,4375182,2299500,769284,601374,761076,621985,838588,1346521,1671131,480281,424199,1349239,1851024,606881,384678,982393,870083,547823
"raiA",3342285,3879434,4176385,4566524,4380642,3669960,3997635,3423614,4043068,5430854,970706,75442,6523500,3549298,5071422,5858292,5373870,5924343,6451021,5219245,6113785,6132944,6288039,6438277,6036764,5857391,7123751,9102083,9928464,9201340,1882111,9693839,7733130,3522599
"srlA",346627,60701,195508,112415,186935,79161,163230,61533,229827,68403,70746,19594,82749,37064,109223,29407,241802,115206,277657,60308,150100,90406,212128,53250,97020,90348,88515,54738,76944,56861,47648,26741,61116,36237
"glk",1102495,339032,717295,460732,894256,495754,571656,268835,612969,366255,137125,22413,978233,240300,274892,136259,2117154,892617,1001834,443645,858555,458991,970134,503657,821853,437586,591597,752479,1353645,576256,604059,564713,976933,483773
"hyfJ",513036,206027,602911,492726,254266,140949,119713,50110,180045,83735,207364,81392,158647,88018,271145,171304,527393,271953,325531,187592,210917,88455,213913,104458,275489,222732,139368,106809,177578,104130,124588,93124,181723,130303
"yfiH",568300,290690,559651,385167,489790,223628,336673,201905,459407,188441,151421,53375,262901,132516,281508,99645,578867,373742,399051,229565,330584,123826,478787,176587,261112,200287,231502,182745,457346,277810,207934,158942,176487,160518
"recX",147145,51510,136027,56137,93664,31125,75525,52692,113422,43302,69740,28076,94146,29394,97005,56519,281979,120174,165821,75221,149464,46684,180770,50758,91797,44256,65223,60174,97076,53545,64447,38101,88177,56421
"amiC",441894,206541,464606,187136,348684,255874,373077,104543,452569,195478,92877,26205,425559,205387,343263,118828,1057430,561704,444202,227848,387270,175898,392788,203660,314875,196457,191949,236052,359202,196336,208330,141010,297594,292930
"scpB",183663,45604,123650,53328,132041,42189,82763,23438,122498,42446,89483,28546,129013,39097,124104,51391,370181,146491,210393,97613,166807,46032,220849,72272,129206,86213,144328,86464,168554,94730,104997,84072,190965,109485
"plsC",396982,119322,359274,186174,309528,150988,197554,53159,283447,122813,89770,19873,231769,115837,225426,74462,456877,364838,331666,160826,307934,161273,410643,124329,185943,175003,164942,118737,210002,148608,153199,106479,158447,162599
"tdcB",224846,64804,295681,149679,141987,44029,128772,44489,152986,67385,93732,18439,139503,54284,115888,29788,324583,89657,243088,85331,200909,77803,256871,83707,128572,68940,152849,135371,170169,75291,116049,71465,165974,97063
"csdA",210385,87953,199551,68643,160936,85908,152966,41638,230491,91818,54796,17103,253150,131650,203944,93149,597232,337120,243815,135997,232490,109281,316913,112859,175960,93760,108760,99219,170633,78054,130906,89382,100590,80676
"yqfE",348679,104041,235083,151052,194209,61244,140588,55560,216744,102225,70485,18609,119116,51410,168461,73005,280026,107470,256272,118549,223909,122231,228492,63283,139616,94061,122080,90453,132302,100723,101311,68698,170880,185007
"yqhH",284267,73096,215143,78720,212436,53989,150575,30352,208138,72275,107391,28814,108041,45329,187340,57959,384191,121262,290973,71154,224577,89709,250717,70956,173577,62662,115364,43839,200712,112848,83307,31816,126810,45994
"tdcF",135788,44855,118854,72707,122410,24569,70009,17789,134742,43023,86325,27014,77007,25399,139128,58227,218221,78812,144544,52504,140116,60475,154974,39858,77962,42096,31196,18726,87705,66770,83668,43057,38977,21294
"rlmM",175423,54210,158706,66416,122409,41852,95389,35528,145783,66687,127805,53347,130045,49843,124905,64915,340165,194408,204773,92452,172149,106939,215072,61885,112308,73822,156883,108138,133960,93989,117191,74932,119099,100865
"zapA",939435,265364,576848,467919,660294,362028,504479,228599,765746,525013,605851,336212,684610,479259,642986,273562,2224958,2107932,1613465,835413,1219446,1914045,1256636,482855,646763,1122033,957222,670165,984914,1278693,993098,848242,703385,909883
"yqhC",371566,125355,256953,111527,235723,116255,239507,79740,321738,138549,216063,74786,251315,100609,278274,128563,738705,468645,351923,133241,346284,230282,333904,110320,258109,144225,196684,149423,316635,222203,295333,218215,292671,262223
"fucI",289432,136156,241827,150393,218889,176913,99188,38138,169629,119308,134835,36333,125203,48923,151337,79429,282500,163172,251022,98490,194454,81153,240331,108899,145539,95029,103174,77607,153833,87936,111931,50257,175571,86952
"ubiI",475713,116493,310176,154520,352591,118705,202108,119621,299003,112535,116115,43491,294633,96005,285129,132243,545620,271162,321577,175584,361945,116105,393625,154927,243919,162755,198382,170880,406131,167629,271602,161855,256373,188194
"exbB",1196401,819195,1353665,448600,1475916,141703,183978,551624,1176972,95040,112774,54494,277519,982844,572771,310163,3919282,1594002,1117845,558935,1016865,568303,1056942,158429,200557,583152,669937,112137,284315,864669,1328056,606664,852728,1225003
"yhaI",363164,87050,127627,63081,80206,21974,114873,36656,88374,25757,88120,24359,77573,20707,65659,19353,285272,78364,177317,48447,124284,32435,154623,32370,111698,44777,108433,109823,58218,34581,50193,38951,55285,35815
"ygdG",225751,68684,156387,93861,139812,62645,119148,53037,144751,71055,98529,34400,144260,59339,98505,34844,286692,162432,266265,148348,210456,69874,204158,63686,169305,78512,98066,78585,128257,74952,90359,60123,93731,78856
"ygfF",721767,405874,1182007,1053359,363934,217199,212838,148592,419068,204647,77789,31142,99265,56073,178883,95313,405360,219419,252412,149106,199822,76069,226011,82286,130878,108430,170447,151014,205444,158122,124336,88483,148279,112095
"yqhA",618769,310488,677643,282084,884309,469955,686625,265668,726032,434742,61673,25467,589688,270310,510399,157099,1229115,947212,606626,305897,539081,297018,647408,348010,439070,378542,544250,541190,727304,479254,530173,377442,325487,336920
"yqjK",921117,288890,534593,305632,758163,259846,404812,224921,633113,240866,75451,23951,410526,250324,344465,113571,653794,558364,816634,325329,519171,355236,592151,196982,350634,320990,371417,163760,302749,294957,390308,154232,216044,281053
"queF",225192,97276,339745,212544,180818,112612,157953,47536,206016,78061,45154,22732,150974,88795,135082,82171,412809,288785,240533,127464,193245,113373,233099,109074,175670,118714,130315,133829,208613,116603,144423,82941,117387,106562
"ygfZ",1492613,503548,1195016,1157386,902958,492287,547501,233414,1088748,652698,135043,84143,1030487,570919,939854,748876,2025304,1264903,1066685,749671,903186,638331,1271502,580111,878077,804643,573253,564331,1038433,741559,643061,543443,649782,607023
"yghW",196602,37597,139916,60574,117458,40264,94571,31516,118545,41244,89305,19559,118899,55718,131192,78009,234572,104543,181806,89726,148314,66633,182511,56599,110335,62575,107925,85639,128277,105105,83100,49853,104967,99252
"mzrA",468359,227065,450756,173824,397279,1083004,1620354,97645,491511,1400084,305503,27123,1345475,150534,252058,351827,1520118,353028,387736,163692,299560,205260,336643,884730,1067454,169872,150306,800101,1367688,151925,177537,578941,402977,154870
"yhcD",232658,41527,207437,123756,141700,67273,128670,41250,205968,96896,132502,52892,157052,55968,173520,75969,289002,142260,298335,98127,232581,142481,305320,110119,210792,138802,87719,71322,100806,67410,109661,98487,164950,168070
"rplC",3134813,1024288,2663374,1957821,3071368,1191951,2164129,1556071,3281602,3650529,4585994,1232205,3903697,2612587,1505466,991125,4829995,3995785,2488101,2911269,4071060,2369907,4566408,3831118,4767086,4111764,3777052,4838067,7280459,3942956,4170921,5704236,6691955,4258847
"malQ",420651,167782,327235,246310,286752,141097,204479,105049,294881,260341,306625,95628,320808,130590,425097,232298,790391,414951,321503,146400,262903,206201,301010,143046,303606,229088,178999,184210,339784,199828,192200,214677,291205,220877
"gadX",683508,316044,724802,381703,559224,274181,369944,194659,620996,229680,470890,227260,403059,227321,389435,109999,818722,1285802,756623,309384,424825,608900,740493,217598,295223,320430,651767,423538,948842,904969,348154,227141,724123,779294
"gltB",2793670,370376,883180,1044264,1470401,262354,451114,516423,1622979,1596629,1794183,398061,2657537,693360,738510,489101,4367282,2218527,1542948,771305,1128340,1023239,1528885,553172,1043338,800781,861930,889798,2087440,970943,1544970,1603566,1955167,1464503
"rpsS",2520382,469798,1136084,1099266,1905005,649114,1060651,1002870,1702381,3511553,3543896,419103,3789955,690865,763927,595983,4497302,3188856,1870038,1384488,2318118,1769466,4070572,1810978,3541058,2554409,3040431,3500763,6576532,2853902,2615075,3761208,5604707,2644197
"rpnA",576700,208966,476865,293732,471538,218704,308645,124321,430057,152158,152013,37008,154595,56993,237256,110126,526774,181206,326283,85510,330544,101038,415124,106507,205386,131604,183242,100466,219292,123593,165844,90415,201994,80478
